var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2,rank,df_r,N_hdfe,N_hdfe_extended,df_a,df_a_initial,df_a_redundant,df_a_nested,ic,drop_singletons,num_singletons,N_full,df_m,tss,tss_within,rss,mss,rmse,F,ll,ll_0,r2_within,r2_a,r2_a_within,N_clust,N_clust1,sumweights,report_constant,N_clustervars,_estimates_name,cmd,properties,dofmethod,absvars,extended_absvars,predict,estat_cmd,footnote,marginsnotok,title,title2,cmdline,title3,depvar,indepvars,clustvar,clustvar1,vcetype,vce,y,x,est
"2.kon",-9.2553437e-06,1.3856542e-06,-6.6794038,2.3993247e-11,-.000011971177,-6.5395111e-06,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"0b.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"1.ar_2020",.0095407609,.000051355564,185.77852,0,.0094401054,.0096414164,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"1b.kon#0b.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"1b.kon#1o.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"2o.kon#0b.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"2.kon#1.ar_2020",-.000096331758,.000072153656,-1.3350918,.18184634,-.00023775034,.000045086832,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"_cons",4.5591923e-06,7.5290438e-07,6.0554733,1.4001180e-09,3.0835267e-06,6.0348580e-06,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
"1b.kon",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"2.kon",-9.2553437e-06,1.3856542e-06,-6.6794038,2.3993247e-11,-.000011971177,-6.5395111e-06,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"0b.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"1.ar_2020",.0095407609,.000051355564,185.77852,0,.0094401054,.0096414164,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"1b.kon#0b.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"1b.kon#1o.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"2o.kon#0b.ar_2020",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"2.kon#1.ar_2020",-.000096331758,.000072153656,-1.3350918,.18184634,-.00023775034,.000045086832,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"_cons",4.5591923e-06,7.5290438e-07,6.0554733,1.4001180e-09,3.0835267e-06,6.0348580e-06,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_inc","kon","onemodel_full_population"
"1b.kon",0,0,,,0,0,35253644,.0083211754,3,,2,2,38,39,1,0,4,1,0,,3,473951.84,470293.28,470008.03,3943.8364,.11546514,5675.7153,26082360,26071666,.00060653279,.0083200503,.00060644775,,,,1,1,"unemp_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe unemp_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","unemp_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","unemp_inc","kon","onemodel_full_population"
"2.kon",.00037919695,.000043680553,8.681139,3.9189902e-18,.00029358463,.00046480927,35253644,.0083211754,3,,2,2,38,39,1,0,4,1,0,,3,473951.84,470293.28,470008.03,3943.8364,.11546514,5675.7153,26082360,26071666,.00060653279,.0083200503,.00060644775,,,,1,1,"unemp_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe unemp_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","unemp_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","unemp_inc","kon","onemodel_full_population"
"0b.ar_2020",0,0,,,0,0,35253644,.0083211754,3,,2,2,38,39,1,0,4,1,0,,3,473951.84,470293.28,470008.03,3943.8364,.11546514,5675.7153,26082360,26071666,.00060653279,.0083200503,.00060644775,,,,1,1,"unemp_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe unemp_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","unemp_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","unemp_inc","kon","onemodel_full_population"
"1.ar_2020",.007829329,.000078055913,100.30411,0,.007676342,.0079823155,35253644,.0083211754,3,,2,2,38,39,1,0,4,1,0,,3,473951.84,470293.28,470008.03,3943.8364,.11546514,5675.7153,26082360,26071666,.00060653279,.0083200503,.00060644775,,,,1,1,"unemp_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe unemp_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","unemp_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","unemp_inc","kon","onemodel_full_population"
"1b.kon#0b.ar_2020",0,0,,,0,0,35253644,.0083211754,3,,2,2,38,39,1,0,4,1,0,,3,473951.84,470293.28,470008.03,3943.8364,.11546514,5675.7153,26082360,26071666,.00060653279,.0083200503,.00060644775,,,,1,1,"unemp_inc_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe unemp_inc ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","unemp_inc","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","unemp_inc","kon","onemodel_full_population"
